"Game_id"	"Event_Num"	"Event_Msg_Type"	"Period"	"WC_Time"	"PC_Time"	"Action_Type"	"Option1"	"Option2"	"Option3"	"Team_id"	"Person1"	"Person2"	"Person3"	"Team_id_type"	"Person1_type"	"Person2_type"	"Person3_type"
"3ce947db2df86b08a40b7526e2faaccb"	2	12	1	618770	7200	0	0	0	0	"1473d70e5646a26de3c52aa1abd85b1f"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	0	0	0	0
"3ce947db2df86b08a40b7526e2faaccb"	4	10	1	618770	7200	0	0	0	0	"8362dfecb7412f12a12713852d2ae566"	"3626b893fc73a5cbd67d1ea48a5c7039"	"ef8b068ab7ac9d387b256404acd24cd5"	"95920e4bf5b6c15ba8dffbf959b38ba5"	3	4	5	5
"3ce947db2df86b08a40b7526e2faaccb"	7	2	1	618960	7010	3	2	0	0	"8362dfecb7412f12a12713852d2ae566"	"95920e4bf5b6c15ba8dffbf959b38ba5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	8	4	1	619000	7000	0	0	0	0	"8362dfecb7412f12a12713852d2ae566"	"a1591595c04d12e88e3cb427fb667618"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	4	0	0
"3ce947db2df86b08a40b7526e2faaccb"	9	5	1	619040	6930	1	1	0	0	"cd45058739ed0ac8229849c6249aad48"	"a1591595c04d12e88e3cb427fb667618"	"fb64ca4b8beaf4c4c6e4575fe2f3abd7"	"0370a0d090da0d0edc6319f120187e0e"	2	4	5	0
"3ce947db2df86b08a40b7526e2faaccb"	11	1	1	619270	6700	75	2	0	0	"8362dfecb7412f12a12713852d2ae566"	"fb64ca4b8beaf4c4c6e4575fe2f3abd7"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	12	2	1	619470	6500	86	2	0	0	"cd45058739ed0ac8229849c6249aad48"	"3626b893fc73a5cbd67d1ea48a5c7039"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"3ce947db2df86b08a40b7526e2faaccb"	13	4	1	619520	6490	0	0	0	0	"cd45058739ed0ac8229849c6249aad48"	"95920e4bf5b6c15ba8dffbf959b38ba5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	14	1	1	619600	6370	5	2	0	0	"8362dfecb7412f12a12713852d2ae566"	"7f438c18058290903c46dfe9d71bd68a"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	15	2	1	619720	6290	1	3	0	0	"cd45058739ed0ac8229849c6249aad48"	"31598ba01a3fff03ed0a87d7dea11dfe"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"3ce947db2df86b08a40b7526e2faaccb"	16	4	1	619740	6280	0	0	0	0	"cd45058739ed0ac8229849c6249aad48"	"ef8b068ab7ac9d387b256404acd24cd5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	17	2	1	619910	6060	1	3	0	0	"8362dfecb7412f12a12713852d2ae566"	"95920e4bf5b6c15ba8dffbf959b38ba5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"3ce947db2df86b08a40b7526e2faaccb"	18	4	1	619940	6020	0	0	0	0	"8362dfecb7412f12a12713852d2ae566"	"1a6703883f8f47bb4daf09c03be3bda2"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	4	0	0
"3ce947db2df86b08a40b7526e2faaccb"	19	1	1	619970	5990	79	3	1	0	"cd45058739ed0ac8229849c6249aad48"	"1a6703883f8f47bb4daf09c03be3bda2"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"3ce947db2df86b08a40b7526e2faaccb"	20	1	1	620160	5800	63	2	0	0	"8362dfecb7412f12a12713852d2ae566"	"95920e4bf5b6c15ba8dffbf959b38ba5"	"7f438c18058290903c46dfe9d71bd68a"	"0370a0d090da0d0edc6319f120187e0e"	3	5	5	0
"3ce947db2df86b08a40b7526e2faaccb"	22	1	1	620310	5670	75	2	0	0	"cd45058739ed0ac8229849c6249aad48"	"1a6703883f8f47bb4daf09c03be3bda2"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
