Game_id	PC_Time	Event_Msg_Type	Action_Type	Option1	WC_Time		Event_Num	Option2	Option3	Team_id	Person1	Person2	Person3	Team_id_type	Person1_type	Person2_type	Person3_type
03ac65b9a32fde1e201bfb427f6e41e4	7200	12	0	0	673700		2	0	0	1473d70e5646a26de3c52aa1abd85b1f	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	0	0	0	0
03ac65b9a32fde1e201bfb427f6e41e4	7200	10	0	0	673710		4	0	0	cd45058739ed0ac8229849c6249aad48	3626b893fc73a5cbd67d1ea48a5c7039	83c15c0962941640faab838a8f6f151d	31598ba01a3fff03ed0a87d7dea11dfe	2	4	5	4
03ac65b9a32fde1e201bfb427f6e41e4	6930	5	2	1	673960		7	0	0	cd45058739ed0ac8229849c6249aad48	3626b893fc73a5cbd67d1ea48a5c7039	ff52c317e26534ae1679da3c917e9fec	0370a0d090da0d0edc6319f120187e0e	2	4	5	0
03ac65b9a32fde1e201bfb427f6e41e4	6870	1	108	2	674020		9	0	0	b5464c11e1a8a18452a7d2988badfe0c	83c15c0962941640faab838a8f6f151d	7dfbb5980c066844384ba7424aceae47	0370a0d090da0d0edc6319f120187e0e	3	5	5	0
03ac65b9a32fde1e201bfb427f6e41e4	6650	2	1	2	674240		11	0	0	cd45058739ed0ac8229849c6249aad48	31598ba01a3fff03ed0a87d7dea11dfe	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	2	4	0	0
03ac65b9a32fde1e201bfb427f6e41e4	6630	4	0	0	674260		12	0	0	cd45058739ed0ac8229849c6249aad48	ff52c317e26534ae1679da3c917e9fec	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	2	5	0	0
03ac65b9a32fde1e201bfb427f6e41e4	6580	2	1	2	674310		13	0	0	b5464c11e1a8a18452a7d2988badfe0c	83c15c0962941640faab838a8f6f151d	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	3	5	0	0
03ac65b9a32fde1e201bfb427f6e41e4	6510	4	0	0	674380		14	0	0	b5464c11e1a8a18452a7d2988badfe0c	a1591595c04d12e88e3cb427fb667618	0370a0d090da0d0edc6319f120187e0e	0370a0d090da0d0edc6319f120187e0e	3	4	0	0
03ac65b9a32fde1e201bfb427f6e41e4	6420	1	108	2	674470		15	0	0	cd45058739ed0ac8229849c6249aad48	ff59dc439c6c323320bc355afe884fcb	3626b893fc73a5cbd67d1ea48a5c7039	0370a0d090da0d0edc6319f120187e0e	2	4	4	0
03ac65b9a32fde1e201bfb427f6e41e4	6350	2	1	2	674540		17	1	0	b5464c11e1a8a18452a7d2988badfe0c	ff52c317e26534ae1679da3c917e9fec	0370a0d090da0d0edc6319f120187e0e	3626b893fc73a5cbd67d1ea48a5c7039	3	5	0	4
